ID,LAT,LONG,Elevation,pH,EC(dSm-1),OC(gkg-1),CaCO3(gkg-1),S(mgkg-1),Zn(mgkg-1),Cu(mgkg-1),Fe(mgkg-1),Mn(mgkg-1),B(mgkg-1)
201,24.21963889,79.60369444,327.9,7.72,0.53,2.54,55,16.53,0.84,1.06,14,4.6,2.17
202,24.20733333,79.57516667,334.4,7.66,0.26,3.09,35,37.98,0.58,1.78,18.36,7.6,2.66
203,24.19802778,79.53925,342.5,8.18,0.12,4.09,35,32.21,1.92,1.4,14.96,18.6,3.64
204,23.85041667,79.46911111,376.8,7.75,0.11,3.75,65,25.2,0.94,1.2,14.22,7.12,2.42
205,23.85897222,79.49555556,363.9,8.02,0.1,5.32,75,21.24,0.98,1.44,17.6,6.04,2.59
206,23.86086111,79.50047222,362.1,7.72,0.07,4.42,50,23.68,1.18,1.4,9.06,3.9,8.72
207,23.86797222,79.51769444,354.3,8.11,0.09,2.77,40,25.2,0.54,0.88,9.3,3.48,3
208,23.8745,79.529,357.4,8.17,0.09,2.92,45,21.65,0.72,1.26,18.72,10.14,5.54
209,23.86002778,79.529,352.2,7.43,0.06,2.31,40,28.86,0.64,1.02,10.6,6.3,2.29
210,23.87916667,79.53541667,354.5,8.04,0.08,2.48,50,21.11,0.52,0.58,11.16,4.06,2.29
211,23.89177778,79.55777778,361.4,8.28,0.07,5.54,55,42.92,1.22,1.56,16.62,6.04,2.42
212,23.93188889,79.58358333,348.3,7.48,0.12,4.98,40,7.42,1.24,1.2,10.2,4,1.44
213,23.92777778,79.59019444,349,8.2,0.12,3.6,50,10.17,0.58,0.74,9.26,5.54,3.85
214,23.92833333,79.59083333,349,8.05,0.11,3.4,45,7.19,1.46,0.96,11.1,4.24,4.03
215,23.92980556,79.59247222,348.8,7.86,0.09,3.27,50,7.3,0.72,1.6,28.24,11.58,1.31
216,23.92980556,79.5925,348.7,6.9,0.06,4.35,15,1.67,1,2.56,25.44,11.14,4.28
217,23.95175,79.61780556,344,7.7,0.09,2.58,40,3.59,0.58,1,15.88,5.2,2.14
218,23.98097222,79.6485,335.8,7.57,0.24,2.25,65,11.64,0.48,0.78,9.28,5.88,4.71
219,23.99102778,79.67072222,335.3,7.86,0.13,2.5,40,1.45,0.28,0.78,10.84,2.5,2.2
220,24.00627778,79.67858333,327.8,7.55,0.08,2.15,70,9.09,0.5,0.86,9.94,4.34,2.62
221,24.00338889,79.66291667,328.9,7.95,0.1,1.66,55,40.18,0.7,1.1,12.3,5.22,1.97
222,24.01838889,79.66125,334.7,8.2,0.09,1.7,75,17.17,0.56,0.82,9.5,5.64,1.84
223,24.00513889,79.63977778,331.4,8.22,0.09,3.03,70,25.61,0.56,0.74,7.7,4.7,1.69
224,24.01344444,79.64322222,333.9,8.24,0.11,1.92,15,12.5,0.5,1.2,8.66,3.08,5.14
225,24.01372222,79.64352778,333.5,7.95,0.09,2.94,50,14.87,0.62,1.16,13.06,7.24,2.36
226,24.01880556,79.64511111,328.2,7.76,0.1,5.13,45,45.22,0.68,0.88,10.58,5.76,4.96
227,24.01988889,79.63816667,324.8,8.09,0.15,3.58,45,37.67,1.52,0.9,8.68,5.76,3.3
228,24.01313889,79.64119444,330.2,7.79,0.11,5.15,35,20.31,0.94,1.74,14.72,8.44,3.58
229,23.86422222,79.57255556,357.1,8.07,0.27,4.32,50,35.97,2.88,1.96,11.82,8.58,4.71
230,23.85952778,79.57247222,354.9,6.78,0.09,5.05,55,13.87,0.34,4.94,31.12,28.3,4.21
231,23.85988889,79.57097222,354.8,7.07,0.08,5.03,40,13.49,1.22,3.42,64.82,30.46,1.74
232,23.81275,79.56638889,348.3,7.2,0.05,3.2,15,10.29,1.82,1.46,76.8,19.34,8.72
233,23.79466667,79.55213889,344.5,5.82,0.07,4.39,25,4.97,0.84,2.9,75.42,75.94,2.45
234,23.77961111,79.55283611,344.3,6.1,0.04,3.18,25,15.51,0.86,2.76,66.86,71.38,5.88
235,23.77961111,79.553,344.7,6.09,0.08,1.56,30,6.83,0.8,3.5,72.82,79,3
236,23.77355556,79.56652778,350.7,5.35,0.04,2.44,25,19.91,0.54,0.6,72.82,33.76,3.44
237,23.77208333,79.57413889,340.9,5.15,0.12,3.78,30,6.01,0.64,0.72,67.42,31.4,2.59
238,23.76483333,79.58355556,336.9,7.93,0.14,2.6,50,42.43,1.04,2.28,26.9,8.98,4.49
239,23.73988889,79.56213889,338.6,7.45,0.42,3.53,65,20.05,0.82,2.22,35.16,22.66,2.06
240,23.72713889,79.55966667,333.9,8.02,0.12,2.21,25,15,0.7,0.96,9.82,10.96,3.3
241,23.69780556,79.54694444,339.8,7.56,0.12,3.22,70,10.42,0.96,3.56,36.68,15.72,2.17
242,23.66513889,79.61344444,367.7,7.2,0.08,3.29,45,38.92,1.54,3.32,68.86,21.76,2.96
243,23.65430556,79.61341667,347,6.72,0.08,2.79,45,26.31,1.24,2.28,70.92,42.24,5.76
244,23.61572222,79.63755556,347.5,7.85,0.14,2.75,105,27.16,1.42,2.1,24.36,6.84,5.14
